municipio,uf_raw,populacao,capital,classe_populacao
Santarem,PA,308339.0,0,MEDIO
Santarem Novo,PA,6796.0,0,BAIXO
Santo Antonio Do Taua,PA,32346.0,0,BAIXO
Sao Caetano De Odivelas,PA,18207.0,0,BAIXO
Sao Domingos Do Araguaia,PA,25945.0,0,BAIXO
Sao Domingos Do Capim,PA,32285.0,0,BAIXO
Sao Felix Do Xingu,PA,135732.0,0,MEDIO
Sao Francisco Do Para,PA,15978.0,0,BAIXO
Sao Geraldo Do Araguaia,PA,24566.0,0,BAIXO
Sao Joao Da Ponta,PA,6294.0,0,BAIXO
Sao Joao De Pirabas,PA,23440.0,0,BAIXO
Sao Joao Do Araguaia,PA,14105.0,0,BAIXO
Sao Miguel Do Guama,PA,60268.0,0,BAIXO
Sao Sebastiao Da Boa Vista,PA,27302.0,0,BAIXO
Sapucaia,PA,6088.0,0,BAIXO
Senador Jose Porfirio,PA,11305.0,0,BAIXO
Soure,PA,25752.0,0,BAIXO
Tailandia,PA,111554.0,0,MEDIO
Terra Alta,PA,11971.0,0,BAIXO
Terra Santa,PA,19063.0,0,BAIXO
Tome-Acu,PA,64604.0,0,BAIXO
Tracuateua,PA,31549.0,0,BAIXO
Trairao,PA,19344.0,0,BAIXO
Tucuma,PA,40661.0,0,BAIXO
Tucurui,PA,116605.0,0,MEDIO
Ulianopolis,PA,62286.0,0,BAIXO
Uruara,PA,45395.0,0,BAIXO
Vigia,PA,54650.0,0,BAIXO
Viseu,PA,62093.0,0,BAIXO
Vitoria Do Xingu,PA,15421.0,0,BAIXO
Xinguara,PA,45416.0,0,BAIXO
Serra Do Navio,AP,5577.0,0,BAIXO
Amapa,AP,9265.0,0,BAIXO
Pedra Branca Do Amapari,AP,17625.0,0,BAIXO
Calcoene,AP,11493.0,0,BAIXO
Cutias,AP,6217.0,0,BAIXO
Ferreira Gomes,AP,8151.0,0,BAIXO
Itaubal,AP,5730.0,0,BAIXO
Laranjal Do Jari,AP,52302.0,0,BAIXO
Macapa,AP,522357.0,1,ALTO
Mazagao,AP,22468.0,0,BAIXO
Oiapoque,AP,28534.0,0,BAIXO
Porto Grande,AP,22927.0,0,BAIXO
Pracuuba,AP,5370.0,0,BAIXO
Santana,AP,124808.0,0,MEDIO
Tartarugalzinho,AP,18217.0,0,BAIXO
Vitoria Do Jari,AP,16572.0,0,BAIXO
Abreulandia,TO,2609.0,0,BAIXO
Aguiarnopolis,TO,7049.0,0,BAIXO
Alianca Do Tocantins,TO,5303.0,0,BAIXO
Almas,TO,6905.0,0,BAIXO
Alvorada,TO,8381.0,0,BAIXO
Ananas,TO,9435.0,0,BAIXO
Angico,TO,3475.0,0,BAIXO
Aparecida Do Rio Negro,TO,4901.0,0,BAIXO
Aragominas,TO,5705.0,0,BAIXO
Araguacema,TO,7223.0,0,BAIXO
Araguacu,TO,8418.0,0,BAIXO
Araguaina,TO,186245.0,0,MEDIO
Araguana,TO,5856.0,0,BAIXO
Araguatins,TO,36573.0,0,BAIXO
Arapoema,TO,6590.0,0,BAIXO
Arraias,TO,10502.0,0,BAIXO
Augustinopolis,TO,18870.0,0,BAIXO
Aurora Do Tocantins,TO,3809.0,0,BAIXO
Axixa Do Tocantins,TO,9817.0,0,BAIXO
Babaculandia,TO,10668.0,0,BAIXO
Bandeirantes Do Tocantins,TO,3631.0,0,BAIXO
Barra Do Ouro,TO,4673.0,0,BAIXO
Barrolandia,TO,5669.0,0,BAIXO
Bernardo Sayao,TO,4439.0,0,BAIXO
Bom Jesus Do Tocantins,TO,5120.0,0,BAIXO
Brasilandia Do Tocantins,TO,2221.0,0,BAIXO
Brejinho De Nazare,TO,5540.0,0,BAIXO
Buriti Do Tocantins,TO,11644.0,0,BAIXO
Cachoeirinha,TO,2293.0,0,BAIXO
Campos Lindos,TO,10505.0,0,BAIXO
Cariri Do Tocantins,TO,4499.0,0,BAIXO
Carmolandia,TO,2627.0,0,BAIXO
Carrasco Bonito,TO,4165.0,0,BAIXO
Caseara,TO,5514.0,0,BAIXO
Centenario,TO,2966.0,0,BAIXO
Chapada De Areia,TO,1415.0,0,BAIXO
Chapada Da Natividade,TO,3330.0,0,BAIXO
Colinas Do Tocantins,TO,36271.0,0,BAIXO
Combinado,TO,4870.0,0,BAIXO
Conceicao Do Tocantins,TO,4070.0,0,BAIXO
Couto Magalhaes,TO,5690.0,0,BAIXO
Cristalandia,TO,7268.0,0,BAIXO
Crixas Do Tocantins,TO,1749.0,0,BAIXO
Darcinopolis,TO,6250.0,0,BAIXO
Dianopolis,TO,22704.0,0,BAIXO
Divinopolis Do Tocantins,TO,6986.0,0,BAIXO
Dois Irmaos Do Tocantins,TO,7173.0,0,BAIXO
Duere,TO,4686.0,0,BAIXO
Esperantina,TO,11280.0,0,BAIXO
Fatima,TO,3824.0,0,BAIXO
Figueiropolis,TO,5222.0,0,BAIXO
Filadelfia,TO,8892.0,0,BAIXO
Formoso Do Araguaia,TO,18358.0,0,BAIXO
Tabocao,TO,2615.0,0,BAIXO
Goianorte,TO,5136.0,0,BAIXO
Goiatins,TO,13169.0,0,BAIXO
Guarai,TO,26403.0,0,BAIXO
Gurupi,TO,88428.0,0,BAIXO
Ipueiras,TO,2088.0,0,BAIXO
Itacaja,TO,7471.0,0,BAIXO
Itaguatins,TO,5801.0,0,BAIXO
Itapiratins,TO,3814.0,0,BAIXO
Itapora Do Tocantins,TO,2412.0,0,BAIXO
Jau Do Tocantins,TO,3906.0,0,BAIXO
Juarina,TO,2174.0,0,BAIXO
Lagoa Da Confusao,TO,13989.0,0,BAIXO
Lagoa Do Tocantins,TO,4470.0,0,BAIXO
Lajeado,TO,3199.0,0,BAIXO
Lavandeira,TO,1984.0,0,BAIXO
Lizarda,TO,3727.0,0,BAIXO
Luzinopolis,TO,3200.0,0,BAIXO
Marianopolis Do Tocantins,TO,5332.0,0,BAIXO
Mateiros,TO,2773.0,0,BAIXO
Maurilandia Do Tocantins,TO,3470.0,0,BAIXO
Miracema Do Tocantins,TO,17628.0,0,BAIXO
Miranorte,TO,13551.0,0,BAIXO
Monte Do Carmo,TO,8182.0,0,BAIXO
Monte Santo Do Tocantins,TO,2311.0,0,BAIXO
Palmeiras Do Tocantins,TO,6830.0,0,BAIXO
Muricilandia,TO,3623.0,0,BAIXO
Natividade,TO,9256.0,0,BAIXO
Nazare,TO,3772.0,0,BAIXO
Nova Olinda,TO,12014.0,0,BAIXO
Nova Rosalandia,TO,4348.0,0,BAIXO
Novo Acordo,TO,4450.0,0,BAIXO
Novo Alegre,TO,2332.0,0,BAIXO
Novo Jardim,TO,2768.0,0,BAIXO
Oliveira De Fatima,TO,1124.0,0,BAIXO
Palmeirante,TO,6234.0,0,BAIXO
Palmeiropolis,TO,7694.0,0,BAIXO
Paraiso Do Tocantins,TO,52521.0,0,BAIXO
Parana,TO,10426.0,0,BAIXO
Pau D'Arco,TO,4885.0,0,BAIXO
Pedro Afonso,TO,13964.0,0,BAIXO
Peixe,TO,11996.0,0,BAIXO
Pequizeiro,TO,5546.0,0,BAIXO
Colmeia,TO,8078.0,0,BAIXO
Pindorama Do Tocantins,TO,4414.0,0,BAIXO
Piraque,TO,3038.0,0,BAIXO
Pium,TO,7830.0,0,BAIXO
Ponte Alta Do Bom Jesus,TO,4586.0,0,BAIXO
Ponte Alta Do Tocantins,TO,8192.0,0,BAIXO
Porto Alegre Do Tocantins,TO,3200.0,0,BAIXO
Porto Nacional,TO,53618.0,0,BAIXO
Praia Norte,TO,8563.0,0,BAIXO
Presidente Kennedy,TO,3668.0,0,BAIXO
Pugmil,TO,2746.0,0,BAIXO
Recursolandia,TO,4389.0,0,BAIXO
Riachinho,TO,4723.0,0,BAIXO
Rio Da Conceicao,TO,2211.0,0,BAIXO
Rio Dos Bois,TO,2879.0,0,BAIXO
Rio Sono,TO,6498.0,0,BAIXO
Sampaio,TO,4876.0,0,BAIXO
Sandolandia,TO,3371.0,0,BAIXO
Santa Fe Do Araguaia,TO,7678.0,0,BAIXO
Santa Maria Do Tocantins,TO,3537.0,0,BAIXO
Santa Rita Do Tocantins,TO,2407.0,0,BAIXO
Santa Rosa Do Tocantins,TO,4864.0,0,BAIXO
Santa Tereza Do Tocantins,TO,2928.0,0,BAIXO
Santa Terezinha Do Tocantins,TO,2530.0,0,BAIXO
Sao Bento Do Tocantins,TO,5457.0,0,BAIXO
Sao Felix Do Tocantins,TO,1610.0,0,BAIXO
Sao Miguel Do Tocantins,TO,12445.0,0,BAIXO
Sao Salvador Do Tocantins,TO,3106.0,0,BAIXO
Sao Sebastiao Do Tocantins,TO,4898.0,0,BAIXO
Sao Valerio,TO,3848.0,0,BAIXO
Silvanopolis,TO,5452.0,0,BAIXO
Sitio Novo Do Tocantins,TO,8965.0,0,BAIXO
Sucupira,TO,2007.0,0,BAIXO
Taguatinga,TO,16966.0,0,BAIXO
Taipas Do Tocantins,TO,2183.0,0,BAIXO
Talisma,TO,2831.0,0,BAIXO
Palmas,TO,313349.0,1,MEDIO
Tocantinia,TO,7688.0,0,BAIXO
Tocantinopolis,TO,22820.0,0,BAIXO
Tupirama,TO,1952.0,0,BAIXO
Tupiratins,TO,2785.0,0,BAIXO
Wanderlandia,TO,11783.0,0,BAIXO
Xambioa,TO,11500.0,0,BAIXO
Acailandia,MA,113783.0,0,MEDIO
Afonso Cunha,MA,6631.0,0,BAIXO
Agua Doce Do Maranhao,MA,12731.0,0,BAIXO
Alcantara,MA,22126.0,0,BAIXO
Aldeias Altas,MA,26979.0,0,BAIXO
Altamira Do Maranhao,MA,8250.0,0,BAIXO
Alto Alegre Do Maranhao,MA,28066.0,0,BAIXO
Alto Alegre Do Pindare,MA,31967.0,0,BAIXO
Alto Parnaiba,MA,11233.0,0,BAIXO
Amapa Do Maranhao,MA,7047.0,0,BAIXO
Amarante Do Maranhao,MA,42017.0,0,BAIXO
Anajatuba,MA,27170.0,0,BAIXO
Anapurus,MA,16054.0,0,BAIXO
Apicum-Acu,MA,17582.0,0,BAIXO
Araguana,MA,15675.0,0,BAIXO
Araioses,MA,47095.0,0,BAIXO
Arame,MA,32825.0,0,BAIXO
Arari,MA,30014.0,0,BAIXO
Axixa,MA,12234.0,0,BAIXO
Bacabal,MA,105094.0,0,MEDIO
Bacabeira,MA,17446.0,0,BAIXO
Bacuri,MA,18726.0,0,BAIXO
Bacurituba,MA,5696.0,0,BAIXO
Balsas,MA,96951.0,0,BAIXO
Barao De Grajau,MA,19026.0,0,BAIXO
Barra Do Corda,MA,88895.0,0,BAIXO
Barreirinhas,MA,63891.0,0,BAIXO
